organization_name,website,phone_number,org_address,org_description,schedule,gender,kids,active,last_update,zipcode
Asian Counseling and Referral Service,http://acrs.org/services/,(206) 695-7506; Employment & Training Services: (206) 695-7590,3639 MLK Jr. Way S.,"Outpatient\, intensive outpatient and integrated mental health and substance use disorder services for adults 18 and older and youth 13-21. Agency provides DBHR-certified services. Call for registration. Sliding scale fees. Accepts Apple Health (Medicaid) and private insurance. Comprehensive job placement and retention services serving low-income job seekers 18 and older. Must be legal to work in the United States. Call for more information. No fees. Offers multingual naturalization classes with citizenship examination prep\, behavioral health & wellness services\, one-on-one case-management\, social and wellness support for seniors\, child and youth development\, employment services with skills training and job placement services\, and recovery assistance . Call or visit in person. Low-income residents or those receiving public assistance may be eligible for some free services and classes.","Mon. – Fri.\, 8 a.m. – 6 p.m.; Job-seeker orientation: Tues.\, 3 p.m.; Service hours vary by program.",no restrictions,allowed,t,,
Cascade Behavioral Hospital,http://cascadebh.com,(877) 552-2970,12844 Military Rd. S.,"Detoxification\, partial hospitalization\, inpatient and intensive outpatient treatment. Agency provides DBHR-certified service(s). Serves adults 18 years or older. Call for assessment. Fees vary. Accepts Medicare\, Kaiser Permanente\, TRICARE\, United Healthcare Military & Veterans\, Private insurance.",Phone and Hospital: 24 hours,no restrictions,allowed,t,,
Catholic Community Services CReW Program,http://ccsww.org/get-help/addiction-recovery-services/,(206) 956-9570,"1902 Second Ave.\, Suite 208","Outpatient services\, referral to inpatient or residential treatment for adults 18 and older. Agency provides DBHR-certified service(s). Call to set up an appointment. Accepts Apple Health (Medicaid).","Mon. – Fri.\, 9 a.m. – 5 p.m.",no restrictions,allowed,t,,
"Community Psychiatric Clinic\, SUDS",http://cpcwa.org/substance-use-disorders.html,(206) 461-3614; After hours crisis line: (206)-461-3222,,"Substance Use Disorder Services; Outpatient treatment\, intensive outpatient treatment\, DUI evaluations and integrated mental health and substance use services for adults 18 and older. Offers Suboxone\, Narcan and Vivitrol. Provides referrals to inpatient treatment. Agency provides DBHR-certified service(s). Call for eligibility and fee information and for an appointment. Accepts Apple Health (Medicaid)\, Medicare\, private pay and private insurance. Sliding scale fees.",,no restrictions,allowed,t,,
"Community Psychiatric Clinic\, SUDS\, Meridian Ave. N.",http://cpcwa.org/substance-use-disorders.html,(206)-461-4544,"10700 Meridian Ave. N.\, Suite G-11","Substance Use Disorder Services; Outpatient treatment\, intensive outpatient treatment\, DUI evaluations and integrated mental health and substance use services for adults 18 and older. Offers Suboxone\, Narcan and Vivitrol. Provides referrals to inpatient treatment. Agency provides DBHR-certified service(s). Call for eligibility and fee information and for an appointment. Accepts Apple Health (Medicaid)\, Medicare\, private pay and private insurance. Sliding scale fees.","Mon. – Tue.\, 8 a.m. – 7 p.m.; Wed. – Thurs. 8 a.m. – 6 p.m.; Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
"Community Psychiatric Clinic\, SUDS\, Lake City Way NE",http://cpcwa.org/substance-use-disorders.html,(206) 461-3614,11000 Lake City Way NE,"Substance Use Disorder Services; Outpatient treatment\, intensive outpatient treatment\, DUI evaluations and integrated mental health and substance use services for adults 18 and older. Housing programs serve homeless individuals with mental illnesses; other programs serve adults 18 and older.   Offers Suboxone\, Narcan and Vivitrol. Provides referrals to inpatient treatment. SSVF Rapid-rehousing to exit homelessness\, move-in assistance and case management. Serves single adult veterans and veteran families with a discharge other than dishonorable who are experiencing homelessness. Call for a screening. No fees.Agency provides DBHR-certified service(s). Call for eligibility and fee information and for an appointment. Accepts Apple Health (Medicaid)\, Medicare\, private pay and private insurance. Sliding scale fees.","Mon. – Fri.\, 8 a.m. – 5 p.m.; No walk in hours for SSVF",no restrictions,allowed,t,,
"Community Psychiatric Clinic\, SUDS\, Central Seattle",http://cpcwa.org/substance-use-disorders.html,(206) 461-3649,2329 Fourth Ave.,"Substance Use Disorder Services; Outpatient treatment\, intensive outpatient treatment\, DUI evaluations and integrated mental health and substance use services for adults 18 and older. Offers Suboxone\, Narcan and Vivitrol. Provides referrals to inpatient treatment. Agency provides DBHR-certified service(s). Call for eligibility and fee information and for an appointment. Accepts Apple Health (Medicaid)\, Medicare\, private pay and private insurance. Sliding scale fees.","Mon. – Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
"Community Psychiatric Clinic\, SUDS\, Stone Way",http://cpcwa.org/substance-use-disorders.html,(206) 461-3707,4120 Stone Way N,"Substance Use Disorder Services; Outpatient treatment\, intensive outpatient treatment\, DUI evaluations and integrated mental health and substance use services for adults 18 and older. Offers Suboxone\, Narcan and Vivitrol. Provides referrals to inpatient treatment. Agency provides DBHR-certified service(s). Call for eligibility and fee information and for an appointment. Accepts Apple Health (Medicaid)\, Medicare\, private pay and private insurance. Sliding scale fees.","Mon. – Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
"DESC\, James St.",http://desc.org/what-we-do/health-services/,(206) 464-6454,216 James St.,"Integrated outpatient and intensive outpatient services serving adults with chronic substance use issues as well as those with co-occurring mental disorders.  Mental health case management\, psychiatric treatment\, medication monitoring\, limited therapy and protective payeeships\, serving King County adult residents who have a mental illness and are homeless. Clients must also be Medicaid recipients or meet the non-Medicaid criteria. Call intake number and request the SAGE intake specialist. Primarily funded by Apple Health (Medicaid). Some clients may qualify for non-Medicaid funding. No fees.  Agency provides DBHR-certified service(s).","Mon. – Fri.\, 9 a.m. – 5 p.m.; Screening: Mon.\, Wed.\, 1 p.m. – 2:30 p.m.\, Fri.\, 9 a.m. – 10:30 a.m.; Intake: Mon.\, – Fri.\, 11 a.m. – noon",no restrictions,allowed,t,,
"DESC\, Wall St.",http://desc.org/what-we-do/health-services/,(206) 441-3043,"222 Wall St.\, Suite 100","Integrated outpatient and intensive outpatient services serving adults with chronic substance use issues as well as those with co-occurring mental disorders.  Mental health case management\, psychiatric treatment\, medication monitoring\, limited therapy and protective payeeships\, serving King County adult residents who have a mental illness and are homeless. Clients must also be Medicaid recipients or meet the non-Medicaid criteria. Call intake number and request the SAGE intake specialist. Primarily funded by Apple Health (Medicaid). Some clients may qualify for non-Medicaid funding. No fees.  Agency provides DBHR-certified service(s).","Mon. – Fri.\, 9 a.m. – 5 p.m.; Screening: Tue.\, Thurs.\, 9 – 10:30 a.m.; Intake: Mon.\, – Fri.\, 11 a.m. – noon",no restrictions,allowed,t,,
Evergreen Treatment Services,http://evergreentx.org/medication-assisted-treatment/,(206) 223-3644,1700 Airport Way S.,Outpatient medication assisted treatment for adults with opioid use disorder. Agency provides DBHR-certified service(s). Call for information. Accepts Apple Health (Medicaid) and private pay.,"SODO dispensing hours: Mon. – Sat.\, 5:30 a.m. – 1 p.m. South King County dispensing hours: Mon - Sat 6 – 11 a.m.",no restrictions,allowed,t,,
Harborview Medical Center,http://uwmedicine.org/locations/,(206) 744-9600,"401 Broadway\, First Floor","DUI evaluations\, outpatient\, intensive outpatient\, treatment for co-occurring substance use disorder and mental health disorders and opiate replacement therapy serving everyone including patients with co-morbid medical issues. Can write prescriptions for Suboxone therapy. Agency provides DBHR-certified service(s). Call for more information or an appointment. Initial assessment is free. Sliding scale fees. Accepts Apple Health (Medicaid)\, Medicare and other eligible commercial or managed care plans.  Accepts private pay. ","Mon. – Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
Jewish Family Service,http://jfsseattle.org/services/,(206) 461-3240; Housing Hotline: (206) 861-8796,1601 16th Ave.,"Counseling program focused on recovery and healing for people with mental health challenges\, physical or social stressors\, addiction and past or current trauma. Community-based advocacy program to support survivors of domestic violence. Services include one-on-one sessions focused on building safety planning\, autonomy and self-determination; assistance and education in navigating legal\, housing and mental health systems; client-centered flexible financial assistance to help remove barriers to safety and resilience-building support groups..  Through individual and/ or group therapy\, counselors help to address mental health symptoms\, build skills around managing emotions and develop pathways toward resilience. Assistance is for members of the Jewish community as well as people in the general community impacted by trauma\, poverty and disability. Case management and financial assistance for individuals and families who are moving into housing or are housed and need assistance to stay house. Some utility assistance as well. No fees. Operates a food bank and limited home delivery. May visit once per month. Serves those who are homeless or living in zip codes 98101\, 98102 98104\, 98112\, 98118\, 98121 and 98122 as well as all Jewish people. Visit in person. Call to inquire about home delivery or evening and Kosher food bank services. Documents Required: ID with current address. No fees.","Mon. – Fri.\, 9 a.m. – 5 p.m.; Housing Hotline: 24 hours; Food Bank: Wed.& Fri.\, 10 a.m. – noon.\, Thurs.\, 2 – 4 p.m.",no restrictions,allowed,t,,
"King County Public Health\, Medical Center and Needle Exchange",http://kingcounty.gov,Medical Center: (206) 477-8300; Needle Exchange: (206) 263-2000; Maternal Care: (206) 477-8330,2124 Fourth Ave.,"Offers comprehensive medical treatment\, including a suboxone program. Call to schedule an appointment. Accepts Medicare\, Apple Health (Medicaid) and has a tiered flat fee for the unin- sured. No one is denied service due to inability to pay. Needle exchange\, clean injection supplies\, overdose prevention training and harm reduction services for everyone. Medical clinic provides Naloxone distribution\, social workers\, case management and counseling services as well as abscess treatment\, HIV/hepatitis testing and counseling\, Hepatitis A & B vaccinations\, treatment for colds and upper respiratory infections and TB screening. Visit in person. No fees. Maternal and family health programs\, such as pregnancy services\, primary care\, WIC\, information and guidance from nurses\, as well as Mom’s Plus case management for those seeking substance abuse treatment. Offers: Moms plus\, nursing\, WIC\, maternity services and health clinic.","Medical Center: Mon.\, – Fri.\, 8 a.m. – 5 p.m.; Needle Exchange: Mon. – Fri.\, 1 p.m. – 5 p.m.; Sat.\, 2 – 4 p.m.; Maternal Care: Mon. – Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
"King County Needle Exchange\, S. Jackson St.",http://kingcounty.gov,(206) 732-0311,1621 S. Jackson St. Suite 201,"Needle exchange\, clean injection supplies\, overdose prevention training and harm reduction services for everyone. Medical clinic provides Naloxone distribution\, social workers\, case management and counseling services as well as abscess treatment\, HIV/hepatitis testing and counseling\, Hepatitis A & B vaccinations\, treatment for colds and upper respiratory infections and TB screening. Visit in person. No fees.","Thurs.\, 1 – 5 p.m.",no restrictions,allowed,t,,
"King County Needle Exchange\, 11th Ave.",http://kingcounty.gov,(206) 263-2000,1161 11th Ave. Robert Clewis Ctr. 2,"Needle exchange\, clean injection supplies\, overdose prevention training and harm reduction services for everyone. Medical clinic provides Naloxone distribution\, social workers\, case management and counseling services as well as abscess treatment\, HIV/hepatitis testing and counseling\, Hepatitis A & B vaccinations\, treatment for colds and upper respiratory infections and TB screening. Visit in person. No fees.","Mon. – Sat.\, 6:30 – 8:30 p.m.",no restrictions,allowed,t,,
"King County Needle Exchange\, North Seattle",http://kingcounty.gov,(206) 330-5777,University Way NE & NE 43rd St. (alley behind the Post Office),"Needle exchange\, clean injection supplies\, overdose prevention training and harm reduction services for everyone. Medical clinic provides Naloxone distribution\, social workers\, case management and counseling services as well as abscess treatment\, HIV/hepatitis testing and counseling\, Hepatitis A & B vaccinations\, treatment for colds and upper respiratory infections and TB screening. Visit in person. No fees. All female staff on Tues.","Sun.\, Fri.\, 1 – 5 p.m.; Mon. – Thurs.\, 5 – 7 p.m.;",no restrictions,allowed,t,,
